train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.95524,0.9125,0.13029622408035008,0.27345796880923257,0.04476,0.0875
0.95594,0.9106,0.12806752817633818,0.27572977889305467,0.04406,0.0894
0.95662,0.9112,0.12873903151763522,0.2811690359406031,0.04338,0.0888
0.9552,0.9086,0.1297904506106587,0.28681572811428907,0.0448,0.0914
0.95736,0.9093,0.12690729380625745,0.29555500521781336,0.04264,0.0907
0.95596,0.9121,0.13102414585230754,0.2800934195138846,0.04404,0.0879
0.95542,0.909,0.12672080926578064,0.28397496901215263,0.04458,0.091
0.95544,0.9103,0.13173208221831284,0.2761398977155139,0.04456,0.0897
0.95646,0.9105,0.12968675445412736,0.2772921802843832,0.04354,0.0895
0.95764,0.9077,0.1280734984161299,0.28808157907644655,0.04236,0.0923
0.95662,0.9104,0.12837544137426196,0.2799365563662189,0.04338,0.0896
0.95718,0.9038,0.12715412805433315,0.2998252760642653,0.04282,0.0962
0.95458,0.9045,0.13109500268402766,0.3053399093781307,0.04542,0.0955
0.95466,0.9123,0.13259432615850436,0.27708832326398536,0.04534,0.0877
0.95628,0.907,0.13185034700862283,0.2922309575376997,0.04372,0.093
0.95612,0.906,0.12784060647191903,0.2964577126512482,0.04388,0.094
0.95484,0.9041,0.13069195325588784,0.2868649120780693,0.04516,0.0959
0.96506,0.9152,0.10735847924828834,0.266284589887045,0.03494,0.0848
0.9709,0.9163,0.09115281668217744,0.2651531331383499,0.0291,0.0837
0.97248,0.9167,0.08588500098918406,0.26633741281879175,0.02752,0.0833
0.97356,0.9178,0.08353999926877753,0.2620740149905727,0.02644,0.0822
0.97386,0.9166,0.08211038406947842,0.2624777454384573,0.02614,0.0834
0.97426,0.9165,0.08074812425772095,0.26390030144885845,0.02574,0.0835
0.97482,0.9157,0.0778910056652163,0.26587775093355,0.02518,0.0843
0.97596,0.9176,0.07685758283509471,0.2651759534599675,0.02404,0.0824
0.97592,0.9171,0.07425721827179879,0.26515354602864594,0.02408,0.0829
0.97728,0.919,0.0729342596772153,0.2623444700222107,0.02272,0.081
